Species	WP010_2A	WP011_3A	WP018_1B	WP020_3B	WP021_4B	WP022_5B	WP023_6B	WP024_7B	WP025_8B	WP016_8A	WP019_2B	WP009_1A	WP012_4A	WP013_5A	WP014_6A	WP015_7A	WP017_9A	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Thelephoraceae_sp	56.0	6076.0	33.0	53136.0	66193.0	128.0	2523.0	3860.0	108.0	19.0	10.0	5.0	33.0	1.0	23.0	17.0	60.0	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephoraceae_gen_Incertae_sedis	Thelephoraceae_sp	132364.0	NA	ENA
Russula_atropurpurea	49.0	0.0	7962.0	5631.0	48.0	3.0	67.0	71950.0	124134.0	1.0	99.0	2.0	0.0	0.0	1.0	0.0	1.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_atropurpurea	209949.0	Ectomycorrhizal	Myc
Russula_cerolens	93.0	14734.0	25.0	93.0	86.0	13.0	21565.0	9330.0	1239.0	53747.0	12995.0	10508.0	22836.0	2446.0	630.0	3454.0	12938.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_cerolens	166732.0	Ectomycorrhizal	Myc
Mycena_rosea	10.0	71.0	6.0	127.0	38.0	11.0	40.0	163.0	13.0	16.0	204.0	818.0	3.0	0.0	15993.0	12.0	61379.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena_rosea	78904.0	Leaf Saprotroph, Plant Pathogen, Undefined Saprotroph, Wood Saprotroph	Pat
Solicoccozyma_terricola	342.0	306.0	510.0	301.0	201.0	20801.0	862.0	126.0	2395.0	255.0	271.0	44.0	357.0	100.0	200.0	452.0	3143.0	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma_terricola	30666.0	NA	ENA
Helotiales_sp	1943.0	1286.0	61.0	4410.0	5520.0	54.0	1995.0	592.0	678.0	9137.0	2795.0	2441.0	23427.0	347.0	106.0	16133.0	1361.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Helotiales_gen_Incertae_sedis	Helotiales_sp	72431.0	NA	ENA
Gymnopus_erythropus	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	13674.0	2.0	0.0	0.0	0.0	37.0	41948.0	5957.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Omphalotaceae	Gymnopus	Gymnopus_erythropus	61619.0	NA	ENA
Podila_humilis	575.0	1006.0	506.0	736.0	517.0	1134.0	2631.0	610.0	7547.0	387.0	756.0	257.0	643.0	173.0	97.0	729.0	1198.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_humilis	19502.0	NA	ENA
Xerocomellus_cisalpinus	25.0	4.0	20559.0	2.0	0.0	2.0	48.0	28.0	6.0	18.0	336.0	1.0	82.0	0.0	7171.0	1.0	89.0	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Xerocomellus	Xerocomellus_cisalpinus	28372.0	Ectomycorrhizal	Myc
Russula_graveolens	0.0	40551.0	416.0	0.0	0.0	1.0	0.0	0.0	0.0	114.0	10.0	1.0	1143.0	1.0	5357.0	0.0	228.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_graveolens	47822.0	Ectomycorrhizal	Myc
Lactarius_quietus	4.0	22.0	9635.0	43.0	7.0	20.0	1.0	1407.0	1478.0	3738.0	104.0	56.0	6668.0	1239.0	157.0	1185.0	26337.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius_quietus	52101.0	Ectomycorrhizal	Myc
Amphinema_sp	10.0	27.0	3.0	25.0	17.0	75.0	153.0	317.0	623.0	1052.0	14.0	138.0	66.0	2.0	522.0	36853.0	2206.0	Fungi	Basidiomycota	Agaricomycetes	Atheliales	Tylosporaceae	Amphinema	Amphinema_sp	42103.0	Ectomycorrhizal	Myc
Russula_fragrantissima	14851.0	4.0	87.0	2669.0	11205.0	1135.0	2276.0	323.0	3034.0	12.0	59.0	34.0	2.0	0.0	9.0	0.0	13.0	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_fragrantissima	35713.0	Ectomycorrhizal	Myc
Lachnellula_sp	5218.0	0.0	121.0	12.0	0.0	193.0	6.0	0.0	0.0	428.0	7.0	0.0	0.0	68.0	7262.0	0.0	30.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnellula	Lachnellula_sp	13345.0	Undefined Saprotroph	Sap
Ascomycota_sp	107.0	916.0	769.0	1137.0	677.0	29077.0	203.0	21.0	58.0	166.0	1414.0	151.0	110.0	8.0	64.0	347.0	431.0	Fungi	Ascomycota	Ascomycota_cls_Incertae_sedis	Ascomycota_ord_Incertae_sedis	Ascomycota_fam_Incertae_sedis	Ascomycota_gen_Incertae_sedis	Ascomycota_sp	35672.0	NA	ENA
Hyaloscyphaceae_sp	654.0	2382.0	304.0	1606.0	974.0	839.0	2366.0	752.0	132.0	2376.0	541.0	122.0	171.0	656.0	277.0	3578.0	67.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Hyaloscyphaceae_gen_Incertae_sedis	Hyaloscyphaceae_sp	17797.0	NA	ENA
